"year";"ccode";"cname";"ccodealp";"bicc_milexp";"bs_ee";"bs_h";"bti_aar";"bti_ci";"bti_cr";"bti_eo";"bti_foe";"bti_pdi";"bti_pp";"bti_su";"bti_wr";"ciri_assn";"ciri_dommov";"ciri_formov";"epi_access";"epi_eh";"eu_demmlifexpt";"eu_heamdochthab";"eu_heamdocnr";"eu_heamdocp";"ffp_fsi";"ffp_hf";"ffp_ps";"ffp_ref";"fh_pr";"gsd_fr";"hf_govint";"lis_gini";"oecd_doctor_g3";"oecd_evogdp_t1";"sgi_enen";"sgi_so";"sgi_soed";"sgi_sofa";"sgi_sogi";"sgi_sohe";"sgi_soin";"sgi_sope";"sgi_sosi";"sgi_sosl";"wdi_expedu";"wdi_expeduge";"wdi_expedup";"wdi_expedus";"wdi_exph";"wdi_idpvc";"wdi_idpvp";"wdi_refasy";"wdi_refori";"wdi_spr";"wef_ias";"wel_coc";"wvs_hap";"Applied"
2011;8;"Albania";"ALB";5.14;NA;NA;9;2;8;6;7;6;7.5;5;6;2;2;1;100;74.97;NA;NA;NA;NA;66.1;6.8;4.9;2.8;3;0.68981997428204;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.71466526;NA;NA;82;13551;NA;4.42181357439024;0.370618762;NA;0
2015;8;"Albania";"ALB";4.95;NA;NA;8;3;8;6;7;6;7.25;5;6.5;NA;NA;NA;100;81.03;77.9;NA;NA;NA;61.2;7.6;4.2;3.3;3;0.717788255465067;31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;104;10408;NA;4.78192715544801;NA;NA;71
2011;40;"Austria";"AUT";4.57;6.18302477484806;7.48219351689626;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;83.96;81.1;NA;NA;NA;27.5;1.9;1.8;2.3;1;0.903343334762109;79;NA;16.8400001525879;2.80799984931946;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.61269998550415;11.0585603713989;17.0949802398682;45.3619499206543;10.93557307;NA;NA;47073;11;NA;5.92559897460317;0.788964727;NA;422
2015;40;"Austria";"AUT";4.49;6.16319544622381;7.36460980764132;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;84.51;81.3;NA;NA;NA;27.5;1.2;1.3;6.1;1;NA;69;NA;NA;0.963058412075043;6.13290911039581;6.28477695093676;5.95227737607172;6.31895721788757;4.72455089820359;6.57858774994556;6.34771349684135;5.71096942169749;6.83535605218626;7.80980339466053;NA;NA;NA;NA;NA;NA;NA;72216;4;NA;5.29272482256557;NA;NA;24547
2011;56;"Belgium";"BEL";4.75;6.0000663326626;7.96649090380038;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;73.55;80.7;NA;NA;NA;33.5;1.9;2.5;1.9;1;0.950278611230176;71;NA;10.1800003051758;1.79663002490997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.38052988052368;11.7225999832153;23.3382205963135;42.7980308532715;10.42349563;NA;NA;22402;90;NA;5.89482937777778;0.811939546;NA;662
2015;56;"Belgium";"BEL";4.68;6.27254977980481;7.67795843175162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;75.58;81.1;NA;NA;NA;29;1.6;1.8;2.1;1;0.909987141020146;75;NA;12.0699996948242;1.50023078918457;5.54033957685748;6.23287201187142;6.16598015530602;7.69486866775665;4.76347305389222;6.63221273315147;5.81729388947228;6.21648305652771;6.29733582173669;6.27532871712829;NA;NA;NA;NA;NA;NA;NA;35314;65;NA;5.61567017163417;NA;NA;10438
2011;70;"Bosnia and Herzegovina";"BIH";4.81;NA;NA;8;5;7;5;6;6;7.5;5.5;5.5;1;2;0;98.68;84.59;NA;NA;NA;NA;77.9;5.8;4.7;6.5;4;0.646313759108444;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.71201831;NA;113000;6933;58578;3.5;3.829551;0.438886615;NA;0
2015;70;"Bosnia and Herzegovina";"BIH";4.75;NA;NA;8;5;7;5;6;5;7;5;6;NA;NA;NA;100;84.81;NA;NA;NA;NA;74.6;5.2;3.8;7.8;4;0.642048864123446;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98300;6798;18769;NA;3.94230771064758;NA;NA;5
2011;100;"Bulgaria";"BGR";5.07;NA;NA;10;3;9;7;8;8;9;7;7;1;2;2;100;79.29;74.2;"439.16";"32271";"227.71";56.3;5.2;4.3;3.3;2;0.733561937419631;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.56303000450134;11.1000499725342;18.5004806518555;41.4084091186523;6.88297734;NA;NA;5688;2327;NA;4.78584347219917;0.455066475;NA;85
2015;100;"Bulgaria";"BGR";4.97;5.55667242082881;4.39906179348301;10;4;8;8;7;7;8.5;6.5;7.5;NA;NA;NA;100;83.49;74.7;"435.64";"31270";"229.55";53.7;4.3;3.9;4;2;0.749699957136734;41;NA;NA;NA;5.81421733629518;4.34424281407901;4.52435804348726;5.15501493345546;2.48502994011976;4.62296710942713;4.45127482203055;4.48573503833846;3.77879395264074;5.25076867313269;NA;NA;NA;NA;NA;NA;NA;16557;1269;NA;4.74145682652791;NA;NA;5983
